venue_id,seat_number,section,row,seat_type,status
1,1,Section-0,Row-0,Regular,Reserved
1,2,Section-0,Row-0,VIP,Reserved
1,3,Section-0,Row-0,VIP,Available
1,4,Section-0,Row-0,VIP,Available
1,5,Section-0,Row-0,VIP,Sold
1,6,Section-0,Row-0,Regular,Available
1,7,Section-0,Row-0,VIP,Available
1,8,Section-0,Row-0,Regular,Sold
1,9,Section-0,Row-0,Wheelchair,Sold
1,10,Section-0,Row-0,Regular,Available
1,11,Section-0,Row-0,Regular,Available
1,12,Section-0,Row-0,Regular,Available
1,13,Section-0,Row-0,Regular,Available
1,14,Section-0,Row-0,Regular,Reserved
1,15,Section-0,Row-0,Regular,Available
1,16,Section-0,Row-0,Regular,Available
1,17,Section-0,Row-0,Regular,Reserved
1,18,Section-0,Row-0,Regular,Available
1,19,Section-0,Row-0,Regular,Reserved
1,20,Section-0,Row-0,VIP,Sold
1,21,Section-0,Row-0,VIP,Available
1,22,Section-0,Row-0,Regular,Reserved
1,23,Section-0,Row-0,Regular,Sold
1,24,Section-0,Row-0,Regular,Sold
1,25,Section-0,Row-0,Regular,Available
1,26,Section-0,Row-0,VIP,Reserved
1,27,Section-0,Row-0,Regular,Available
1,28,Section-0,Row-0,VIP,Available
1,29,Section-0,Row-0,Regular,Sold
1,30,Section-0,Row-1,Regular,Available
1,31,Section-0,Row-1,VIP,Reserved
1,32,Section-0,Row-1,Regular,Available
1,33,Section-0,Row-1,Regular,Available
1,34,Section-0,Row-1,Regular,Available
1,35,Section-0,Row-1,VIP,Available
1,36,Section-0,Row-1,Wheelchair,Available
1,37,Section-0,Row-1,VIP,Sold
1,38,Section-0,Row-1,VIP,Available
1,39,Section-0,Row-1,Regular,Sold
1,40,Section-0,Row-1,Regular,Sold
1,41,Section-0,Row-1,Regular,Sold
1,42,Section-0,Row-1,Regular,Available
1,43,Section-0,Row-1,Regular,Available
1,44,Section-0,Row-1,Regular,Reserved
1,45,Section-0,Row-1,VIP,Reserved
1,46,Section-0,Row-1,Regular,Available
1,47,Section-0,Row-1,Regular,Available
1,48,Section-0,Row-1,Regular,Available
1,49,Section-0,Row-1,Wheelchair,Available
1,50,Section-0,Row-1,Regular,Available
1,51,Section-0,Row-1,Regular,Sold
1,52,Section-0,Row-1,Regular,Sold
1,53,Section-0,Row-1,Wheelchair,Reserved
1,54,Section-0,Row-1,VIP,Available
1,55,Section-0,Row-1,Regular,Sold
1,56,Section-0,Row-1,Regular,Available
1,57,Section-0,Row-1,VIP,Available
1,58,Section-0,Row-1,Regular,Available
1,59,Section-0,Row-1,Regular,Available
1,60,Section-0,Row-2,VIP,Sold
1,61,Section-0,Row-2,Regular,Sold
1,62,Section-0,Row-2,Regular,Available
1,63,Section-0,Row-2,Regular,Available
1,64,Section-0,Row-2,Regular,Available
1,65,Section-0,Row-2,Regular,Available
1,66,Section-0,Row-2,Regular,Available
1,67,Section-0,Row-2,Regular,Sold
1,68,Section-0,Row-2,Regular,Sold
1,69,Section-0,Row-2,Regular,Reserved
1,70,Section-0,Row-2,Regular,Sold
1,71,Section-0,Row-2,Regular,Reserved
1,72,Section-0,Row-2,Regular,Available
1,73,Section-0,Row-2,Regular,Available
1,74,Section-0,Row-2,Regular,Sold
1,75,Section-0,Row-2,VIP,Reserved
1,76,Section-0,Row-2,Regular,Available
1,77,Section-0,Row-2,Regular,Sold
1,78,Section-0,Row-2,Regular,Available
1,79,Section-0,Row-2,Regular,Available
1,80,Section-0,Row-2,Regular,Available
1,81,Section-0,Row-2,Regular,Sold
1,82,Section-0,Row-2,Wheelchair,Sold
1,83,Section-0,Row-2,Regular,Available
1,84,Section-0,Row-2,Regular,Available
1,85,Section-0,Row-2,VIP,Available
1,86,Section-0,Row-2,Regular,Available
1,87,Section-0,Row-2,Wheelchair,Sold
1,88,Section-0,Row-2,Regular,Sold
1,89,Section-0,Row-2,Regular,Sold
1,90,Section-0,Row-3,Regular,Sold
1,91,Section-0,Row-3,Regular,Available
1,92,Section-0,Row-3,Regular,Sold
1,93,Section-0,Row-3,VIP,Sold
1,94,Section-0,Row-3,Wheelchair,Available
1,95,Section-0,Row-3,VIP,Available
1,96,Section-0,Row-3,VIP,Reserved
1,97,Section-0,Row-3,Regular,Available
1,98,Section-0,Row-3,VIP,Sold
1,99,Section-0,Row-3,Regular,Sold
